  ZT    rhobar      thbar        pbar     pibar    QVBAR            Q1           Q2  rhobar_up    RH        U
 ==============================================================================================================
 0.0      1.  300.   100000.0   1.0   1e-15   0 0  1.161  0 0
46.552    1.  300.   99471.055   0.998   1e-15   0 0  1.156  0 0
160.345   1.  300.   98187.797   0.995   1e-15   0 0  1.144  0 0
301.724   1.  300.   96612.531   0.99   1e-15   0 0  1.129  0 0
470.69    1.  300.   94757.344   0.985   1e-15   0 0  1.111  0 0
667.241   1.  300.   92636.406   0.978   1e-15   0 0  1.09  0 0
891.379   1.  300.   90265.82   0.971   1e-15   0 0  1.067  0 0
1143.103  1.  300.   87663.461   0.963   1e-15   0 0  1.042  0 0
1422.414  1.  300.   84848.781   0.954   1e-15   0 0  1.014  0 0
1729.31   1.  300.   81842.625   0.944   1e-15   0 0  0.984  0 0
2063.793  1.  300.   78667.047   0.934   1e-15   0 0  0.952  0 0
2425.862  1.  300.   75345.008   0.922   1e-15   0 0  0.919  0 0
2815.517  1.  300.   71900.242   0.91   1e-15   0 0  0.884  0 0
3232.759  1.  300.   68356.93   0.897   1e-15   0 0  0.848  0 0
3677.586  1.  300.   64739.527   0.883   1e-15   0 0  0.811  0 0
4150.0    1.  300.   61072.473   0.869   1e-15   0 0  0.773  0 0
4650.0    1.  300.   57379.977   0.853   1e-15   0 0  0.734  0 0
5177.586  1.  300.   53685.758   0.837   1e-15   0 0  0.695  0 0
5732.759  1.  300.   50012.844   0.82   1e-15   0 0  0.655  0 0
6315.517  1.  300.   46383.32   0.803   1e-15   0 0  0.616  0 0
6925.862  1.  300.   42818.152   0.785   1e-15   0 0  0.576  0 0
7563.793  1.  300.   39336.973   0.766   1e-15   0 0  0.537  0 0
8229.311  1.  300.   35957.902   0.747   1e-15   0 0  0.499  0 0
8922.414  1.  300.   32697.422   0.727   1e-15   0 0  0.461  0 0
9643.104  1.  300.   29570.207   0.706   1e-15   0 0  0.424  0 0
10391.379 1.  300.   26589.041   0.685   1e-15   0 0  0.389  0 0
11167.241 1.  300.   23764.715   0.663   1e-15   0 0  0.354  0 0
11970.689 1.  300.   21105.977   0.641   1e-15   0 0  0.321  0 0
12801.725 1.  300.   18619.492   0.619   1e-15   0 0  0.29  0 0
13660.345 1.  300.   16309.848   0.596   1e-15   0 0  0.26  0 0
14546.552 1.  300.   14179.568   0.572   1e-15   0 0  0.231  0 0
15460.345 1.  300.   12229.17   0.549   1e-15   0 0  0.205  0 0
16401.725 1.  300.   10457.237   0.525   1e-15   0 0  0.18  0 0
17370.689 1.  300.   8860.526   0.5   1e-15   0 0  0.157  0 0
18367.242 1.  300.   7434.094   0.476   1e-15   0 0  0.136  0 0
