    pbar       Tbar       qvbar      U           V
  95132.16   296.1016     0.0000    10.0000     0.0000
  94038.21   295.2007     0.0000    10.0000     0.0000
  91879.72   293.6957     0.0000    10.0000     0.0000
  89759.82   292.4836     0.0000    10.0000     0.0000
  87678.03   290.9621     0.0000    10.0000     0.0000
  85634.08   289.7347     0.0000    10.0000     0.0000
  83627.60   288.1967     0.0000    10.0000     0.0000
  81658.21   286.9540     0.0000    10.0000     0.0000
  79725.52   285.3994     0.0000    10.0000     0.0000
  77829.11   284.1415     0.0000    10.0000     0.0000
  75968.55   282.5704     0.0000    10.0000     0.0000
  74143.42   281.2971     0.0000    10.0000     0.0000
  72353.26   280.0166     0.0000    10.0000     0.0000
  70597.62   278.4210     0.0000    10.0000     0.0000
  68876.04   277.1251     0.0000    10.0000     0.0000
  67188.08   275.8219     0.0000    10.0000     0.0000
  65533.27   274.2019     0.0000    10.0000     0.0000
  63911.16   272.8833     0.0000    10.0000     0.0000
  62321.28   271.5575     0.0000    10.0000     0.0000
  60763.17   269.9130     0.0000    10.0000     0.0000
  59236.37   268.5718     0.0000    10.0000     0.0000
  57740.44   267.2233     0.0000    10.0000     0.0000
  56274.90   265.5543     0.0000    10.0000     0.0000
  54839.31   264.1906     0.0000    10.0000     0.0000
  53433.21   262.8194     0.0000    10.0000     0.0000
  52056.17   261.4410     0.0000    10.0000     0.0000
  50707.72   260.0551     0.0000    10.0000     0.0000
  49387.44   258.3458     0.0000    10.0000     0.0000
  48094.87   256.9447     0.0000    10.0000     0.0000
  46829.59   255.5362     0.0000    10.0000     0.0000
  45591.15   254.1204     0.0000    10.0000     0.0000
  44379.13   252.6973     0.0000    10.0000     0.0000
  43193.11   251.2668     0.0000    10.0000     0.0000
  42032.66   249.8290     0.0000    10.0000     0.0000
  40897.35   248.3839     0.0000    10.0000     0.0000
  39786.79   246.6102     0.0000    10.0000     0.0000
  38700.55   245.1498     0.0000    10.0000     0.0000
  37638.24   243.6820     0.0000    10.0000     0.0000
  36599.44   242.2069     0.0000    10.0000     0.0000
  35583.76   240.7244     0.0000    10.0000     0.0000
  34590.81   239.2346     0.0000    10.0000     0.0000
  33620.20   237.7374     0.0000    10.0000     0.0000
  32671.54   236.2329     0.0000    10.0000     0.0000
  31744.45   234.7211     0.0000    10.0000     0.0000
  30838.56   233.5285     0.0000    10.0000     0.0000
  29953.49   232.0026     0.0000    10.0000     0.0000
  29088.88   230.4694     0.0000    10.0000     0.0000
  28244.35   228.9287     0.0000    10.0000     0.0000
  27419.57   227.3808     0.0000    10.0000     0.0000
  26614.16   225.8255     0.0000    10.0000     0.0000
  25827.78   224.2629     0.0000    10.0000     0.0000
  25060.08   222.6929     0.0000    10.0000     0.0000
  24310.72   221.4471     0.0000    10.0000     0.0000
  23579.37   219.8631     0.0000    10.0000     0.0000
  22865.69   218.2717     0.0000    10.0000     0.0000
  22169.35   216.6730     0.0000    10.0000     0.0000
  21490.03   215.0670     0.0000    10.0000     0.0000
  20827.41   213.7881     0.0000    10.0000     0.0000
  20181.18   212.1680     0.0000    10.0000     0.0000
  19551.01   210.5405     0.0000    10.0000     0.0000
  18937.46   209.2421     0.0000    10.0000     0.0000
  18341.71   207.6006     0.0000    10.0000     0.0000
  17764.35   205.9517     0.0000    10.0000     0.0000
  17205.17   204.6337     0.0000    10.0000     0.0000
  16663.62   202.9707     0.0000    10.0000     0.0000
  16139.13   201.6399     0.0000    10.0000     0.0000
  15631.16   199.9629     0.0000    10.0000     0.0000
  15139.19   198.6192     0.0000    10.0000     0.0000
  14662.72   197.2694     0.0000    10.0000     0.0000
  14201.26   195.5715     0.0000    10.0000     0.0000
  13754.34   194.2089     0.0000    10.0000     0.0000
  13321.49   192.8401     0.0000    10.0000     0.0000
  12902.28   191.4652     0.0000    10.0000     0.0000
  12496.27   190.0842     0.0000    10.0000     0.0000
  12103.06   188.6971     0.0000    10.0000     0.0000
