pbar            Tbar            qvbar           U V
95132.15681987  295.75083760    0.01567813      -10 0
92439.91369981  293.88613444    0.01483438      -9.5 0
89805.82849527  291.95715634    0.01399062      -9.0 0
87228.98469375  290.07549080    0.01314687      -8.5 0
84708.89866851  288.22825631    0.01230312      -8.0 0
82244.97871625  286.40782156    0.01145938      -7.5 0
79836.56591459  284.60903319    0.01061563      -7.0 0
77482.95551507  282.82812980    0.00977187      -6.5 0
75183.40998764  281.06221952    0.00892813      -6.0 0
72937.16775241  279.30899452    0.00808437      -5.5 0
70743.44940832  277.56656057    0.00724063      -5.0 0
68601.46238534  275.83332845    0.00639687      -4.5 0
66510.40454207  274.10794120    0.00555313      -4.0 0
64469.46702340  272.38922336    0.00470938      -3.5 0
62477.83657945  270.67614435    0.00386563      -3.0 0
60534.69747950  268.96779144    0.00302188      -2.5 0
58639.42774117  267.26360276    0.00251875      -2.0 0
56791.57642545  265.56335216    0.00235625      -1.5 0
54990.47259696  263.86663086    0.00219375      -1.0 0
53235.25131609  262.17283694    0.00203125      -0.5 0
51525.05303234  260.48141943    0.00186875      0 0
49859.02430927  258.79187179    0.00170625      0 0
48236.31845312  257.10372633    0.00154375      0 0
46656.09605894  255.41654973    0.00138125      0 0
45117.52548575  253.72993913    0.00121875      0 0
43619.78327003  252.04351888    0.00105625      0 0
42162.05448531  250.35693774    0.00089375      0 0
40743.53305434  248.66986647    0.00073125      0 0
39363.42201948  246.98199576    0.00056875      0 0
38020.93377577  245.29303435    0.00040625      0 0
36715.29027099  243.60270753    0.00024375      0 0
35445.72317601  241.91075564    0.00008125      0 0
34211.50427489  240.21699362    0.00000000      0 0
33011.94133652  238.52130990    0.00000000      0 0
31846.31727753  236.82354439    0.00000000      0 0
30713.89464961  235.12348754    0.00000000      0 0
29613.94661666  233.42093997    0.00000000      0 0
28545.75699032  231.71571167    0.00000000      0 0
27508.62025105  230.00762142    0.00000000      0 0
26501.84155592  228.29649617    0.00000000      0 0
25524.73673431  226.58217055    0.00000000      0 0
24576.63227267  224.86448634    0.00000000      0 0
23656.86528925  223.14329207    0.00000000      0 0
22764.78349975  221.41844260    0.00000000      0 0
21899.74517465  219.68979875    0.00000000      0 0
21061.11908899  217.95722696    0.00000000      0 0
20248.28446523  216.22059899    0.00000000      0 0
19460.63090990  214.47979161    0.00000000      0 0
18699.10362849  213.61413461    0.00000000      0 0
17965.94041336  213.62190328    0.00000000      0 0
17261.54470177  213.62974758    0.00000000      0 0
16584.78712876  213.63766838    0.00000000      0 0
15934.58268332  213.64566656    0.00000000      0 0
15309.88896594  213.65374302    0.00000000      0 0
14709.70451466  213.66189865    0.00000000      0 0
14133.06719696  213.67013437    0.00000000      0 0
13579.05266472  213.67845111    0.00000000      0 0
13046.77286996  213.68684980    0.00000000      0 0
