    pbar       Tbar      qvbar         U           V
 100720.00   301.6500    0.0186259    -0.8889     0.1408
 100570.00   301.1500    0.0168643    -1.0337     0.3762
 100000.00   300.5500    0.0170756    -1.2053     0.4870
  94970.00   297.0500    0.0163492    -2.8718     0.4036
  92500.00   296.4500    0.0153693    -4.4446     0.7040
  91550.00   296.4500    0.0143097    -5.5455     0.7794
  89460.00   294.9500    0.0142835    -4.7286     1.9105
  85000.00   292.9500    0.0139561    -1.9939     0.9298
  80550.00   290.5500    0.0118353    -2.4864     0.7602
  73410.00   287.9500    0.0062705    -2.2957     1.2206
  70000.00   285.0500    0.0070753    -1.8187    -1.0500
  67230.00   282.6500    0.0072771    -1.8124    -1.4160
  59170.00   276.4500    0.0039641    -4.0752    -1.0161
  57080.00   274.3500    0.0047918    -2.9353    -1.9062
  51490.00   270.0500    0.0014292    -1.1069    -3.2148
  51170.00   269.4500    0.0040175    -0.6106    -3.1412
  50850.00   269.5500    0.0028491    -0.2162    -3.0924
  50000.00   268.9500    0.0019213     0.2528    -2.8890
  48990.00   269.6500    0.0009718     1.3766    -1.9660
  48060.00   269.6500    0.0005571     0.4951     0.0696
  46940.00   268.8500    0.0004775    -1.3906     2.3144
  43990.00   264.8500    0.0003288    -4.6946    -1.9927
  42290.00   262.3500    0.0003619    -7.6707    -0.6711
  40010.00   258.9500    0.0003240    -5.9816    -2.7893
  40000.00   258.9500    0.0003241    -5.9816    -2.7893
  39510.00   258.3500    0.0003126    -4.9482    -3.2134
  38150.00   256.5500    0.0001956    -5.7916    -1.1258
  36020.00   253.4500    0.0002286    -6.1436    -4.3018
  33720.00   249.7500    0.0001601    -9.5009    -4.2301
  30390.00   243.5500    0.0001136   -12.1607    -7.8973
  30000.00   242.7500    0.0000962   -13.0978    -6.6737
  28020.00   239.5500    0.0000680   -13.5437    -3.1268
  25850.00   234.3500    0.0001505   -15.9124    -1.6725
  25430.00   233.4500    0.0001244   -17.2307    -2.4216
  25000.00   232.4500    0.0001145   -16.2493    -2.8652
  23760.00   229.3500    0.0000879   -12.4320    -3.8008
  23340.00   228.2500    0.0000699   -13.4376    -4.8909
  22820.00   227.0500    0.0000661   -13.2464    -5.8977
  22170.00   225.9500    0.0000440   -16.4770    -6.9941
  20000.00   220.5500    0.0000475   -25.7253    -5.4681
  18660.00   216.5500    0.0000508   -28.8831    -3.5464
  17100.00   211.9500    0.0000315   -22.7762    -3.2010
  16520.00   210.2500    0.0000259   -20.8474    -6.3737
  15000.00   207.6500    0.0000088   -13.7114   -10.7125
  14990.00   207.5500    0.0000087   -13.7114   -10.7125
  14020.00   205.4500    0.0000060   -18.6413   -16.2047
  13280.00   203.4500    0.0000045   -19.3995   -13.0851
  11020.00   196.7500    0.0000027   -21.1405   -14.2594
  10540.00   197.4500    0.0000031   -24.4894   -13.5747
  10000.00   197.7500    0.0000032   -21.0263    -9.8047
   9620.00   198.6500    0.0000035   -24.8485   -10.0395
   8020.00   200.8500    0.0000030   -21.3186    -1.8651
   7500.00   201.3500    0.0000026   -11.7838     0.6176
   7410.00   200.8500    0.0000025   -11.2158    -1.3771
   7390.00   201.0500    0.0000025   -11.0621    -1.7521
   7250.00   202.5500    0.0000026   -11.6722    -5.9473
   7000.00   203.8500    0.0000026   -11.5450    -6.3995
   6790.00   205.4500    0.0000025   -12.0210    -8.1083
   6510.00   208.6500    0.0000026   -12.3924    -0.4328
   5710.00   206.5500    0.0000011   -16.7974    -0.2932
   5200.00   210.0500    0.0000019   -17.3762    -0.9106
   5000.00   210.5500    0.0000021   -19.6073     2.7556
   4620.00   213.0500    0.0000031   -19.7247     1.7257
   4350.00   213.8500    0.0000036   -17.4047     5.3212
   3880.00   215.5500    0.0000049   -21.6174    -1.8913
   3750.00   215.2500    0.0000049   -25.4961     0.4450
   3510.00   215.4500    0.0000054   -21.6000     0.0000
   3370.00   217.0500    0.0000068   -22.1596    -7.2001
   3360.00   217.1500    0.0000069   -22.2547    -7.2310
   3000.00   216.4500    0.0000071   -24.5647    -2.5819
   2900.00   216.2500    0.0000072   -21.4967    -0.3752
   2690.00   217.0500    0.0000085   -19.5731     1.0258
   2360.00   218.3500    0.0000112   -20.2870     3.5772
   2090.00   220.0500    0.0000153   -26.7633     1.4026
   2000.00   222.2500    0.0000205   -25.8961    -0.4520
   1750.00   226.2500    0.0000360   -31.3952     0.5480
   1590.00   229.4500    0.0000553   -28.8956    -0.5044
   1440.00   233.0500    0.0000880   -22.5896    -6.4775
   1370.00   233.7500    0.0000991   -21.5967     0.3770
   1320.00   232.8500    0.0000941   -19.2399     3.7399
   1230.00   230.2500    0.0000776   -16.0423     2.2546
   1070.00   226.7500    0.0000621   -19.8771     4.5890
   1030.00   226.1500    0.0000605   -22.5449     1.5765
   1010.00   226.8500    0.0000664   -27.3833    -0.9562
