    pbar       Tbar       qvbar          U          V 
 100850.00   300.4500    0.0170640       0.00       0.00
 100000.00   299.8500    0.0165944       0.00       0.00
  97840.00   298.2500    0.0155952       0.00       0.00
  97390.00   300.5500    0.0143439       0.00       0.00
  96780.00   300.8500    0.0142524       0.00       0.00
  92500.00   297.3500    0.0136386       0.00       0.00
  91770.00   296.7500    0.0135270       0.00       0.00
  88970.00   295.5500    0.0130852       0.00       0.00
  85000.00   293.4500    0.0124761       0.00       0.00
  80200.00   291.4500    0.0114135       0.00       0.00
  80020.00   291.3500    0.0111978       0.00       0.00
  79200.00   291.4500    0.0103613       0.00       0.00
  78520.00   292.0500    0.0090709       0.00       0.00
  70000.00   285.4500    0.0077887       0.00       0.00
  69970.00   285.3500    0.0077401       0.00       0.00
  65880.00   282.0500    0.0070187       0.00       0.00
  65770.00   281.9500    0.0069825       0.00       0.00
  64200.00   281.0500    0.0064088       0.00       0.00
  59870.00   278.2500    0.0044487       0.00       0.00
  57860.00   276.8500    0.0042580       0.00       0.00
  56370.00   275.1500    0.0043472       0.00       0.00
  55420.00   274.2500    0.0047490       0.00       0.00
  50000.00   269.5500    0.0023055       0.00       0.00
  49250.00   268.8500    0.0015940       0.00       0.00
  48050.00   267.7500    0.0024722       0.00       0.00
  46580.00   266.3500    0.0007967       0.00       0.00
  45260.00   264.5500    0.0019200       0.00       0.00
  44660.00   264.1500    0.0022817       0.00       0.00
  41650.00   261.3500    0.0014344       0.00       0.00
  40000.00   259.0500    0.0013078       0.00       0.00
  36590.00   254.5500    0.0010863       0.00       0.00
  34670.00   252.3500    0.0005625       0.00       0.00
  33960.00   251.1500    0.0003189       0.00       0.00
  30000.00   244.2500    0.0002944       0.00       0.00
  27100.00   237.9500    0.0002339       0.00       0.00
  26740.00   237.3500    0.0001516       0.00       0.00
  25700.00   235.2500    0.0001654       0.00       0.00
  25000.00   233.7500    0.0001576       0.00       0.00
  23610.00   230.4500    0.0001238       0.00       0.00
  23430.00   230.1500    0.0001129       0.00       0.00
  20520.00   223.4500    0.0000477       0.00       0.00
  20000.00   222.2500    0.0000348       0.00       0.00
  19070.00   219.7500    0.0000407       0.00       0.00
  17440.00   216.0500    0.0000082       0.00       0.00
  16040.00   211.9500    0.0000094       0.00       0.00
  15630.00   211.0500    0.0000093       0.00       0.00
  15060.00   210.2500    0.0000047       0.00       0.00
  15000.00   210.1500    0.0000047       0.00       0.00
  14020.00   207.0500    0.0000068       0.00       0.00
  12500.00   204.9500    0.0000054       0.00       0.00
  12270.00   204.2500    0.0000047       0.00       0.00
  11950.00   204.3500    0.0000040       0.00       0.00
  10000.00   198.8500    0.0000033       0.00       0.00
   9480.00   197.3500    0.0000034       0.00       0.00
   9130.00   197.9500    0.0000031       0.00       0.00
   8840.00   200.7500    0.0000027       0.00       0.00
   8570.00   199.2500    0.0000026       0.00       0.00
   8250.00   198.2500    0.0000029       0.00       0.00
   8230.00   198.1500    0.0000028       0.00       0.00
   8100.00   198.8500    0.0000029       0.00       0.00
   7470.00   201.1500    0.0000025       0.00       0.00
   7290.00   201.5500    0.0000023       0.00       0.00
   7000.00   202.2500    0.0000021       0.00       0.00
   6800.00   202.2500    0.0000022       0.00       0.00
   6760.00   202.5500    0.0000023       0.00       0.00
   6500.00   201.8500    0.0000021       0.00       0.00
   6280.00   200.8500    0.0000024       0.00       0.00
   6220.00   200.6500    0.0000024       0.00       0.00
   5850.00   203.2500    0.0000021       0.00       0.00
   5140.00   205.2500    0.0000021       0.00       0.00
   5000.00   205.7500    0.0000023       0.00       0.00
   4590.00   209.1500    0.0000019       0.00       0.00
   4400.00   208.9500    0.0000020       0.00       0.00
