pbar                   Tbar   qvbar       U           V
100000.0         300.00          0           10          0
99471.055        299.63          0           10          0
98187.797        299.21          0           10          0
96612.531        298.24          0           10          0
94757.344        297.35          0           10          0
92636.406        295.96          0           10          0
90265.820        291.95          0           10          0
87663.461        293.193219      0           10          0
84848.781        291.517006      0           10          0
81842.625        289.629417      0           10          0
78667.047        287.834653      0           10          0
75345.008        285.513392      0           10          0
71900.242        283.278738      0           10          0
68356.930        280.817361      0           10          0
64739.527        278.123509      0           10          0
61072.473        275.507829      0           10          0
57379.977        272.331373      0           10          0
53685.758        269.222925      0           10          0
50012.844        265.857287      0           10          0
46383.320        262.552389      0           10          0
42818.152        258.977150      0           10          0
39336.973        255.121117      0           10          0
35957.902        251.309123      0           10          0
32697.422        247.199083      0           10          0
29570.207        242.777459      0           10          0
26589.041        238.377176      0           10          0
23764.715        233.642249      0           10          0
21105.977        228.911956      0           10          0
18619.492        224.181471      0           10          0
16309.848        219.078107      0           10          0
14179.568        213.579009      0           10          0
12229.170        208.417603      0           10          0
10457.237        202.832181      0           10          0
8860.5260        196.792501      0           10          0
7434.0940        191.066876      0           10          0
