 pbar                Tbar        qvbar       U          V
101480.0 298.6961 0.014735821 0 0
100945.5 298.24557 0.014714844 0 0
99647.36 297.15332 0.014536311 0 0
98051.16 295.83643 0.014329613 0 0
96168.01 294.48117 0.013467657 0 0
94012.09 293.27765 0.011948819 0 0
91600.66 292.04404 0.010676338 0 0
88952.58 290.6676 0.0095595615 0 0
86087.92 289.14072 0.008512277 0 0
83028.09 287.4544 0.007511641 0 0
79795.64 285.60007 0.006569032 0 0
76413.77 283.51315 0.005755367 0 0
72906.0 281.18768 0.004998189 0 0
69296.53 278.6807 0.0042603957 0 0
65610.21 275.98907 0.0036176408 0 0
61871.6 273.0425 0.0031157748 0 0
58104.5 269.84174 0.0026191107 0 0
54333.105 266.5387 0.0020519276 0 0
50581.605 263.05817 0.0015688107 0 0
46872.027 259.26453 0.0011782146 0 0
43223.87 255.07329 0.0008654125 0 0
39654.445 250.39938 0.00064185914 0 0
36179.582 245.25868 0.00048618062 0 0
32814.555 239.70828 0.00037616002 0 0
29575.504 234.009 0.00027187925 0 0
26480.72 228.48366 0.00016672946 0 0
23549.143 223.29808 9.9586e-05 0 0
20797.549 218.48059 6.173043e-05 0 0
18239.777 214.18332 4.1490304e-05 0 0
15886.145 210.43323 2.9168397e-05 0 0
13741.485 207.0667 2.0954521e-05 0 0
11804.973 203.959 1.5534277e-05 0 0
10072.029 201.17896 1.1993011e-05 0 0
8535.697 198.83354 9.86395e-06 0 0
7187.8345 197.3386 8.892083e-06 0 0
6019.766 197.23247 7.987374e-06 0 0
5019.8247 198.34889 7.0721226e-06 0 0
4172.092 200.31332 6.156741e-06 0 0
3458.4185 202.8101 5.2645423e-06 0 0
2860.5042 205.55534 4.417314e-06 0 0
2361.1262 208.28 3.6386832e-06 0 0
1944.8022 210.75114 2.9381615e-06 0 0
1598.1293 212.86884 2.3235532e-06 0 0
1309.7219 214.49113 1.8083217e-06 0 0
1069.9197 215.40051 1.3930488e-06 0 0
